11765     0                                 0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0		 
11767.018 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11769.036 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11771.054 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11773.072 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11775.09  0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11777.108 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11779.126 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11781.144 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11783.162 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11785.18  0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11787.198 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11789.216 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11791.234 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11793.252 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11795.27  0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11797.288 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11799.306 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11801.324 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11803.342 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11805.36  0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11807.378 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11809.396 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11811.414 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11813.432 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11815.45  0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11817.468 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11819.486 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
11821.504 0			            0			0		    0		      0 	     0		       0.0001748388	  0.0025237214  0
